Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common
93, GI03-191710R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.65, 76.2, 6487.6
94, GI03-191711R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.74, 76.1, 6419.0
95, GI03-191712, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.55, 76.7, 6291.6
96, GI03-191713R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.83, 74.5, 6360.2
97, GI03-191714, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.63, 76.1, 6448.4
98, GI03-191715R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.7, 74.9, 6174.0
99, GI03-191716, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.51, 76.6, 6056.4
100, GI03-191717, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.6, 75.4, 6164.2
101, GI03-191718, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.48, 75.4, 6144.6
102, GI05-191719R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.44, 70.1, 6232.8
103, GI05-191720R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.52, 74.3, 6330.8
104, GI03-191721R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.99, 75.2, 6076.0
105, GI07-191722R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.62, 66.4, 5213.6
106, GI03-191723R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.76, 76.2, 6595.4
107, GI06-191724R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.46, 72.2, 6066.2
108, NI07-191727, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.66, 68.2, 5468.4
109, GI03-191728R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.8, 77.9, 6360.2
110, GI06-191729R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.5, 73.4, 5537.0
111, GI03-191730, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.58, 77.3, 6409.2
112, GI03-191731R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 3.07, 77.9, 6624.8
113, GI07-191732R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.7, 69.1, 5497.8
114, GI03-191733R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.83, 78.8, 6281.8
115, GI03-191735R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.71, 84.9, 5272.4
116, GI03-191737R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.67, 81.4, 5321.4
117, GI03-191739R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.66, 84.4, 5311.6
118, GI03-191740R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.64, 86.6, 5478.2
119, GI03-191741R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.61, 91.9, 5439.0
120, GI03-191742R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.59, 89.7, 5517.4
121, GI03-191743, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.54, 91.7, 5693.8
122, GI03-191746R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.54, 71.3, 4998.0
123, GI03-191747R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.57, 75.9, 5154.8
124, GI06-191748, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.46, 70.5, 5096.0
125, GI02-191756R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.64, 78.5, 5194.0
126, GI03-191757R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 3.23, 71.4, 4998.0
127, GI07-191758, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.85, 74.6, 5125.4
128, GI02-191759R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.53, 69.4, 4890.2
129, GI02-191760R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.59, 73.0, 5194.0
130, GI02-191761R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.89, 68.7, 4919.6
131, GI02-191762R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.7, 69.7, 5037.2
132, GI02-191764, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.56, 72.5, 5135.2
133, GI02-191765R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.69, 70.7, 4958.8
134, GI02-191766R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.6, 71.9, 4998.0
135, GI02-191768R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.56, 70.5, 4949.0
136, GI02-191769R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.44, 66.3, 4449.2
137, GI05-191770R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.26, 59.6, 4635.4
138, GI05-191771R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.33, 66.1, 4674.6
139, GI05-191772R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.36, 72.1, 4949.0
140, GI05-191773R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.34, 69.2, 4988.2
141, GI05-191774R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.53, 79.1, 5194.0
142, GI05-191775, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.62, 78.7, 5125.4
143, GI05-191776R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.69, 74.7, 4831.4
144, GI06-191777R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.58, 74.0, 4723.6
145, GI06-191778R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.59, 72.6, 4733.4
146, GI06-191779R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 2.48, 72.7, 5017.6
