Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Vickers Hardness 100g,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Ag2O, Tl2O, BeO, MnO, CuO, ZnO, SrO, CdO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Gd2O3, Bi2O3, Sc2O3, TiO2, GeO2, ZrO2, CeO2, SnO2, SeO2, TeO2, P2O5, V2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, GeS2, OH, Sm2O3, Eu2O3, Tb2O3, Dy2O3, Er2O3, Yb2O3, Lu2O3, Pr2O3, R2O, RO, MgF2, CaF2, SrF2, AlF3, NdF3, KCl, SrCl2, ZnCl2, CdCl2, PbCl2, KBr, KI, CsI, Li, B, N, O, Mg, Al, Si, P, S, Cl, Ca, Ti, Fe, Co, Ni, Cu, Zn, Ga, Ge, Sr, Y, Zr, Ag, Sb, Te, Ba, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, W, Re, Sr(PO3)2, Ga2S3, Sb2S3, Ga2Se3, GeSe2, In2S3, AlN, ZrO2-SiO2, Vickers Hardness 100g ( MPa )
898, GI03-191824R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 68.53, , 3.24, , , 16.02, , 9.99, 0.08, , , , , , , 0.04, , , , 1.82, , , 0.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4929.4
899, GI02-191825R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 73.21, , 3.08, 11.45, , , , 10.06, , , , , , , , , , , , 2.01, , , 0.19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4615.8
900, GI02-191826R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 72.1, , , , 12.44, , , 15.05, , , , , , , , , , , , 0.23, , , 0.18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4517.8
901, GI02-191827R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 72.96, , , , 12.21, , , 0.01, 14.43, , , , , , , , , , , 0.19, , , 0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4361.0
902, GI03-191828R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 73.16, , , , 11.77, , 14.91, , , , , , , , , , , , , 0.16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5135.2
903, GI05-191830, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 12.64, 52.85, 0.46, , 20.09, , , , , , , , , , , , , , , , , , , , 0.06, 9.63, , , , , , 4.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6379.8
904, GI05-191831, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 9.65, 55.14, 0.44, , 21.19, , , , , , , , , , , , , , , , , , , , 0.08, , 8.81, , , , , 4.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6223.0
905, GI05-191833, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 14.69, 50.17, 0.43, , 20.31, , , , , , , , , , , , , , , , , , , , 0.06, 9.77, , , , , , 4.57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6340.6
906, GI05-191834, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 9.72, 55.39, 0.43, , 20.36, , , , , , , , , , , , , , , , , , , , 0.06, 9.56, , , , , , 4.48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6311.2
907, GI05-191835, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 14.2, 50.11, 0.44, 8.63, 13.01, , , , , , , , , , , , , , , , , , , , 0.06, 9.2, , , , , , 4.35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6242.6
908, GI05-191836, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 15.85, 53.48, 0.44, , 12.96, , , , , , , , , , , 3.53, , , , , , , , , 0.07, 9.5, , , , , , 4.17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6105.4
909, GI05-191837, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 12.59, 56.11, 0.49, , 13.43, 2.45, , , , , , , , , , , , , , , , , , , 0.07, 10.44, , , , , , 4.42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6438.6
910, GI10-191839R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, , 47.21, , , , , , , , , , , , , 19.5, , , , , , , , , , , 15.82, 5.69, , , , , 5.62, , , , , , , 1.7, 3.84, , , , 0.62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6605.2
911, GI10-191840, NGF's Additional New Data (J), 2001, v. 004  p. 0007, , 40.62, , 31.79, , , , , , , , , , , , , , , , , , , , , , 13.17, 4.74, , , , , 4.67, , , , , , , 1.36, 3.13, , , , 0.52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6713.0
912, GI10-191847R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 4.98, 42.74, , , , , , , , , , , , , 18.91, , , , , , , , , , , 15.93, 5.69, , , , , 5.59, , , , , , , 1.71, 3.83, , , , 0.62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6654.2
913, GI10-191848R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, , 42.61, 3.01, , , , , , , , , , , , 21.16, , , , , , , , , , , 15.94, 5.92, , , , , 5.16, , , , , , , 1.71, 3.84, , , , 0.65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6644.4
914, GI10-191849R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, , 46.47, , , , , , , , , , , , , 19.89, , , , , , , , , , , 15.74, 5.78, , , , , 5.36, , , , , , , 3.37, 2.76, , , , 0.63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6791.4
915, GI10-191850R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, , 46.65, , , , , , , , , , , , , 19.87, , , , , , , , , , , 15.98, 5.63, , , , , 4.83, , , , , , , 1.69, 2.8, , , , 2.55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6575.8
916, GI10-191851R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, , 47.07, , , , , , , , , , , , , 8.59, , , , , , , , , , , 18.56, , , , 8.49, , 5.78, , , , , , , 9.8, 1.71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6624.8
917, GI10-191855R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , 47.77, , , , , , , , , , , , , , 7.17, , , , , , , , , , 18.9, , , , 8.96, , 5.73, , , , , , , 9.76, 1.71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6517.0
918, GI10-191856R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , 48.77, , , , 4.93, , , , , , , , , , , , , , , , , , , , 19.29, , , , 9.34, , 5.82, , , , , , , 9.95, 1.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6585.6
919, GI10-191858R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , 42.36, 4.29, , , , , , , , , , , , 8.09, , , , , , , , , , , 19.09, , , , 9.0, , 5.52, , , , , , , 9.88, 1.77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6546.4
920, GI10-191859R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , 47.57, , , , , , , , , , , , , 8.31, , , , , , , , , , , 18.74, , , , 9.11, , 5.5, , , , , , , 7.95, 2.82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3469.2
921, GI10-191860R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , 45.94, , , , , , , , , , , , , 8.29, , , , , , , , , , , 17.93, , , , 13.88, , 4.48, , , , , , , 7.58, 1.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6889.4
922, GI02-191861, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 68.14, , , , 1.03, 5.29, , 7.69, 5.66, , , , , , 6.46, 0.07, , , , , , , , , 0.12, , , , , 5.54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5037.2
923, GI02-191862R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 71.61, , , , 1.01, 5.48, , 7.83, 5.69, , , , , , 6.68, 0.21, , , , , , , , , 0.11, , , , , , , , , , , , , , 1.38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4831.4
924, GI02-191863, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 75.95, , , , 1.18, 2.28, , 8.04, 4.01, , , , , , 5.66, 0.05, , , , , , , , , 0.04, , , , , 2.51, , , , , , , , , 0.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4586.4
925, GI02-191864R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 72.94, , , , 1.21, 2.49, , 8.46, 4.21, , , , , , 5.75, 0.05, , , , , , , , , 0.04, , , , , 4.12, , , , , , , , , 0.73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4655.0
926, GI02-191865R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 72.73, , , 0.03, 4.49, 1.06, , 8.05, 3.9, , , , , , 7.05, 0.03, , , , , , , , , 0.04, , , , , 2.35, , , , , , , , , 0.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4655.0
927, GI02-191866R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 76.53, , , , , 2.98, , 8.38, 4.19, , , , , , 5.34, 0.06, , , , , , , , , 0.05, , , , , 2.19, , , , , , , , , 0.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4596.2
928, GI02-191867R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 75.71, , , , 1.21, 2.48, , 4.35, 7.29, , , , , , 5.75, 0.05, , , , , , , , , 0.04, , , , , 2.84, , , , , , , , , 0.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4449.2
929, GI02-191868R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 74.32, , , , 1.19, 2.42, , 11.37, 2.04, , , , , , 5.68, 0.05, , , , , , , , , 0.04, , , , , 2.61, , , , , , , , , 0.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4488.4
930, GI02-191869R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 75.87, , , 0.03, 3.54, 3.37, , 8.48, 4.17, , , , , , 2.35, 0.06, , , , , , , , , 0.04, , , , , 1.69, , , , , , , , , 0.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4694.2
931, GI02-191870R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 79.46, , , , 1.19, 2.32, , 4.1, 6.91, , , , , , 5.04, 0.06, , , , , , , , , 0.04, , , , , 0.82, , , , , , , , , 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4449.2
932, GI20-191871R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.36, , 10.01, 9.81, , , , 0.07, , , , , , , 29.91, , , , , , , , , , , , , , , , , , , , , , 49.84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3145.8
933, GI20-191872R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.37, , 10.21, 0.08, 10.07, , , 0.09, , , , , , , 30.18, , , , , , , , , , , , , , , , , , , , , , 49.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3381.0
934, GI20-191873R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.39, , 10.1, , , 0.05, , 0.07, , , , , , , 29.56, 10.2, , , , , , , , , , , , , , , , , , , , , 49.63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3390.8
935, GI20-191874R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.4, , 9.8, , , 9.38, , 0.1, , , , , , , 30.62, 0.08, , , , , , , , , , , , , , , , , , , , , 49.62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3410.4
936, GI20-191877R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.4, , 10.9, , , , , 0.1, , , , , , , 31.82, , , , , , 5.09, , , , , , , , , , , , , , , , 51.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3322.2
937, GI20-191879R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.98, 5.11, 5.56, , , 9.65, , 0.06, , , , , , , 29.93, 0.08, , , , , , , , , , , , , , , , , , , , , 48.63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3606.4
938, GI20-191881R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.31, 9.79, 0.68, , 0.04, 9.81, , 0.02, , , , , , , 29.81, 0.08, , , , , , , , , , , , , , , , , , , , , 47.46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3802.4
939, GI20-191886R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.34, , 10.17, 29.57, 0.04, , , 0.07, , , , , , , 10.6, , , , , , , , , , , , , , , , , , , , , , 49.21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3449.6
940, GI20-191891R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , , , 37.69, , , , , , , , , , , , , , , , , , 4.98, , , , , , , , , , , , , , , 52.28, , , , , , , , , , , , 5.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3430.0
941, GI20-191892R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , , , , 39.29, , , , , , , , , , , , , , , , , 4.8, , , , , , , , , , , , , , , 51.03, , , , , , , , , , , , 4.88, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3684.8
942, GI20-191893R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , , , , , 39.03, , , , , , , , , , 1.0, , , , , , 4.81, , , , , , , , , , , , , , , 50.24, , , , , , , , , , , , 4.92, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6458.2
943, GI20-191894R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , , , , , 0.49, , , , , , , , , , 38.92, , , , , , 4.88, , , , , , , , , , , , , , , 50.8, , , , , , , , , , , , 4.91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3655.4
944, GI03-191913, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 59.89, , , 0.12, 21.43, , , 18.56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5115.6
945, GI03-191924, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 50.0, , , 2.71, 22.09, , , 22.44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5096.0
946, GI03-191929R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 50.13, , , 0.14, 24.2, , , 20.23, , , , , , , , , , , , , , , , , , , , , , 2.71, , , , , , , 2.59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5017.6
947, GI03-191930R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 47.71, , , 0.17, 22.81, , , 20.75, , , , , , , 0.28, , , , , , , , , , , , , , , 5.48, , , , , , , 2.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4968.6
948, GI03-191931R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 45.9, , , 0.19, 22.73, , , 19.83, , , , , , , , , , , , , , , , , , , , , , 8.52, , , , , , , 2.83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5076.4
949, GI03-191932R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 51.17, , , 0.13, 21.99, , , 20.92, , , , , , , , , , , , , , , , , , , , , , , , 3.1, , , , , 2.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5086.2
950, GJ02-207737, J. Ceramic Soc. Japan, 2001, v. 109  p. 0511, 80.0, , , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3350.0
951, GJ02-207738, J. Ceramic Soc. Japan, 2001, v. 109  p. 0511, 69.6, 8.7, , , , , , 21.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4000.0
952, GJ05-207739, J. Ceramic Soc. Japan, 2001, v. 109  p. 0511, 57.0, 19.0, , , , , , 24.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4250.0
953, GJ05-207740, J. Ceramic Soc. Japan, 2001, v. 109  p. 0511, 42.0, 32.0, , , , , , 26.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3900.0
954, GJ05-207741, J. Ceramic Soc. Japan, 2001, v. 109  p. 0511, 23.5, 46.5, , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3500.0
955, GJ10-207742, J. Ceramic Soc. Japan, 2001, v. 109  p. 0511, , 67.0, , , , , , 33.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3500.0
956, GP05-210699, Japanese Patent    Hitachi (J), 2001, A019466, 70.75, 11.69, 3.22, , 2.47, , , 10.48, 0.67, , , , , , 0.7, , , , , , , , , , 0.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6664.0
957, GP05-210700, Japanese Patent    Hitachi (J), 2001, A019466, 71.13, 9.14, 4.5, , , , 7.57, 6.02, , , , , , , 1.58, , , , , , , , , , 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6713.0
958, GP05-210701, Japanese Patent    Hitachi (J), 2001, A019466, 67.91, 9.02, 4.99, , , , 8.41, 6.4, , , , , , , 1.54, , , , , , , , , , 0.07, , 1.66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7301.0
959, GP05-210702, Japanese Patent    Hitachi (J), 2001, A019466, 69.61, 9.19, 4.86, , , , 7.76, 6.58, , , , , , , 1.46, , , , , , , , , , 0.06, , 0.48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6958.0
960, GP05-210703, Japanese Patent    Hitachi (J), 2001, A019466, 66.03, 9.35, 5.22, , , , 7.75, 6.66, 3.32, , , , , , 1.61, , , , , , , , , , 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6870.0
961, GP05-210704, Japanese Patent    Hitachi (J), 2001, A019466, 63.8, 9.56, 7.85, , , , 6.85, 6.82, 3.4, , , , , , 1.65, , , , , , , , , , 0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6840.0
962, GP05-210705, Japanese Patent    Hitachi (J), 2001, A019466, 60.68, 9.41, 7.7, , , , 8.9, 7.75, 3.38, , , , , , 1.59, , , , , , , , , , 0.07, , 0.52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7007.0
963, GP05-210706, Japanese Patent    Hitachi (J), 2001, A019466, 61.54, 9.38, 7.69, , , , 8.83, 6.7, 3.36, , , , , , 1.62, , , , , , , , , , 0.05, , , , , , , , , , , , , , , , , , , , , , , , , , 0.83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6958.0
964, GP05-210707, Japanese Patent    Hitachi (J), 2001, A019466, 65.73, 9.23, 5.15, , , , 8.69, 7.58, 1.97, , , , , , 1.59, , , , , , , , , , 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6782.0
965, GP05-210708, Japanese Patent    Hitachi (J), 2001, A019466, 67.06, 9.13, 5.1, , , , 8.59, 8.48, , , , , , , 1.58, , , , , , , , , , 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6733.0
