 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
278 75.0 1.25 0.0 0.0 0.0 0.0 0.0 23.75 0.0 0.0 0.0
279 75.0 0.5 0.0 0.0 0.0 0.0 0.0 24.5 0.0 0.0 0.0
280 75.0 0.12 0.0 0.0 0.0 0.0 0.0 24.87 0.0 0.0 0.0
281 85.0 11.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0
289 75.0 0.0 0.0 0.0 0.0 0.0 24.87 0.12 0.0 0.0 0.0
290 75.0 0.0 0.0 0.0 0.0 0.0 24.5 0.5 0.0 0.0 0.0
291 75.0 0.0 0.0 0.0 0.0 0.0 23.75 1.25 0.0 0.0 0.0
292 75.0 0.0 0.0 0.0 0.0 0.0 21.25 3.75 0.0 0.0 0.0
293 75.0 0.0 0.0 0.0 0.0 0.0 16.25 8.75 0.0 0.0 0.0
295 75.0 0.0 0.0 0.0 0.0 0.0 8.75 16.25 0.0 0.0 0.0
296 75.0 0.0 0.0 0.0 0.0 0.0 3.75 21.25 0.0 0.0 0.0
297 75.0 0.0 0.0 0.0 0.0 0.0 1.25 23.75 0.0 0.0 0.0
298 75.0 0.0 0.0 0.0 0.0 0.0 0.5 24.5 0.0 0.0 0.0
299 83.3 0.0 0.0 0.0 0.0 0.0 13.0 3.7 0.0 0.0 0.0
300 83.3 0.0 0.0 0.0 0.0 0.0 10.0 6.7 0.0 0.0 0.0
301 83.3 0.0 0.0 0.0 0.0 0.0 7.0 9.7 0.0 0.0 0.0
302 83.3 0.0 0.0 0.0 0.0 0.0 4.0 12.7 0.0 0.0 0.0
303 85.0 0.0 0.0 0.0 0.0 0.0 11.0 4.0 0.0 0.0 0.0
304 85.0 0.0 0.0 0.0 0.0 0.0 7.5 7.5 0.0 0.0 0.0
305 85.0 0.0 0.0 0.0 0.0 0.0 4.0 11.0 0.0 0.0 0.0
317 80.0 0.0 0.0 0.0 0.0 0.0 0.0 18.2 0.0 0.0 0.0
318 80.0 0.0 0.0 0.0 0.0 0.0 0.0 19.1 0.0 0.0 0.0
319 85.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0
320 85.0 0.0 0.0 0.0 0.0 0.0 0.0 7.5 0.0 0.0 0.0
321 85.0 0.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0
329 70.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0
330 67.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0
331 70.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0
332 67.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0
333 67.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0
334 64.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0
335 61.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0
339 75.0 0.5 0.0 0.0 0.0 0.0 24.5 0.0 0.0 0.0 0.0
340 75.0 1.25 0.0 0.0 0.0 0.0 23.75 0.0 0.0 0.0 0.0
348 75.0 23.75 0.0 0.0 0.0 0.0 1.25 0.0 0.0 0.0 0.0
349 75.0 24.5 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0
350 75.0 24.87 0.0 0.0 0.0 0.0 0.12 0.0 0.0 0.0 0.0
351 76.0 8.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0
352 76.0 20.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0
353 77.0 4.0 0.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0
354 77.0 8.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
355 77.0 16.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0
356 77.0 20.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0
357 78.0 4.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 0.0
358 78.0 16.0 0.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0
359 78.0 20.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0
370 81.0 4.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
371 81.0 8.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0
372 81.0 12.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0
373 81.0 16.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0
374 82.0 4.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0
375 82.0 8.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0
376 82.0 12.0 0.0 0.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0
377 82.0 16.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0
382 84.0 8.0 0.0 0.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0
383 84.0 12.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0
385 85.0 12.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0
386 86.0 4.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0
387 86.0 12.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0
391 75.0 23.75 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
392 75.0 24.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
393 75.0 16.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
394 75.0 21.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
396 75.0 23.75 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
