 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
12216 70.0 0.0 10.0 0.0 5.0 5.0 0.0 0.0 0.0 10.0 0.0
12217 65.0 0.0 10.0 0.0 5.0 5.0 0.0 0.0 0.0 15.0 0.0
12253 64.15 9.45 11.95 3.67 0.0 0.0 0.04 10.73 0.0 0.0 0.0
12313 74.99 25.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12314 73.08 24.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12315 72.74 24.27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12316 69.57 23.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12317 68.91 22.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12318 66.68 22.29 0.0 0.0 11.03 0.0 0.0 0.0 0.0 0.0 0.0
12319 66.34 22.18 0.0 0.0 10.97 0.0 0.0 0.0 0.0 0.0 0.0
12320 63.11 21.1 0.0 0.0 10.44 0.0 0.0 0.0 0.0 0.0 0.0
12321 62.21 20.79 0.0 0.0 10.29 0.0 0.0 0.0 0.0 0.0 0.0
12322 61.04 20.4 0.0 0.0 10.1 0.0 0.0 0.0 0.0 0.0 0.0
12323 71.33 15.02 0.0 13.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12324 71.03 14.96 0.0 13.58 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12325 70.78 14.9 0.0 13.53 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12402 34.8 0.0 7.8 0.0 31.3 0.0 0.0 0.0 0.0 0.0 0.0
12403 36.4 0.0 12.7 0.0 32.7 0.0 0.0 0.0 0.0 0.0 0.0
12404 38.1 0.0 18.1 0.0 34.3 0.0 0.0 0.0 0.0 0.0 0.0
12405 39.0 0.0 21.0 0.0 35.1 0.0 0.0 0.0 0.0 0.0 0.0
13707 57.84 1.02 13.01 7.26 6.76 14.11 0.0 0.0 0.0 0.0 0.0
13886 77.7 9.56 0.73 0.0 0.0 0.0 4.71 0.0 7.3 0.0 0.0
13887 70.33 12.48 1.75 0.0 7.43 7.38 0.63 0.0 0.0 0.0 0.0
13889 72.0 16.25 0.58 0.0 5.28 5.88 0.0 0.0 0.0 0.0 0.0
13891 71.77 12.04 1.2 2.28 4.57 4.55 3.44 0.0 0.0 0.0 0.0
13893 75.07 5.19 1.58 0.0 0.0 0.0 7.69 0.0 10.46 0.0 0.0
13895 72.62 0.66 0.81 0.0 0.0 0.0 11.47 0.0 10.42 0.0 0.0
13896 68.81 7.41 1.5 0.0 4.09 3.8 6.5 0.0 7.89 0.0 0.0
13897 70.18 7.32 1.27 8.38 0.0 0.0 4.82 0.0 0.0 0.0 5.58
13898 72.11 13.94 0.87 0.59 6.06 6.05 0.18 0.0 0.0 0.0 0.0
13901 65.6 13.56 10.78 0.0 0.0 6.41 2.06 0.0 0.0 0.0 1.59
13908 62.2 1.6 10.96 3.92 7.41 13.86 0.0 0.0 0.0 0.0 0.0
13910 68.63 1.07 11.09 4.78 9.49 0.0 4.94 0.0 0.0 0.0 0.0
