SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO "Young's Modulus at RT ( GPa )" "Density at RT ( g/cm3 )"
60.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 74.24 2.685
61.9 23.81 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.29 0.0 0.0 78.82 2.658
65.0 17.5 0.0 0.0 17.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.2 2.447
65.0 20.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.3 2.45
65.0 30.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.4 2.486
65.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 59.0 2.497
45.0 25.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 78.5 2.519
50.0 25.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.9 2.499
55.0 25.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.9 2.47
60.0 25.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.4 2.48
65.0 25.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 67.0 2.461
85.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 62.3 2.339
80.0 15.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 2.358
75.0 15.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.9 2.41
70.0 15.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.9 2.465
65.0 15.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.7 2.428
60.0 15.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 77.3 2.472
75.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 59.1 2.439
70.0 25.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.5 2.455
64.15 9.45 3.67 0.0 11.95 0.04 10.73 0.0 0.0 0.0 0.0 0.0 0.0 77.0 2.41
40.0 0.0 0.0 36.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 102.2 2.783
40.0 0.0 0.0 36.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 105.7 2.786
43.48 13.04 43.48 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 56.14 2.261
42.55 14.89 42.55 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.95 2.311
40.0 20.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.07 2.429
38.46 23.08 38.46 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 75.24 2.48
34.48 31.03 34.48 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.57 2.518
33.33 33.33 33.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.49 2.536
31.25 37.5 31.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.89 2.561
30.3 39.39 30.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.1 2.56
60.61 9.09 30.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.08 2.237
58.82 11.76 29.41 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 62.54 2.308
57.97 13.04 28.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 66.61 2.366
57.14 14.29 28.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 71.1 2.396
56.34 15.49 28.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 75.31 2.43
54.79 17.81 27.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 76.59 2.471
54.05 18.92 27.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 76.5 2.48
51.28 23.08 25.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 75.7 2.517
50.0 25.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 76.16 2.53
48.78 26.83 24.39 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.25 2.518
47.62 28.57 23.81 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.55 2.521
