Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density,,,,Common,,
OR,Young's Modulus,,,,Common,,
OR,Vickers Hardness,,,,Common,,
OR,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,350000,500000
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Thermal Treatment, Bulk Density ( g/cm3 ), Density (Miscell) ( g/cm3 ), Density at RT ( g/cm3 ), Young's Modulus (Miscell) ( GPa ), Young's Modulus at <0C ( GPa ), Young's Modulus at RT ( GPa ), Fracture Toughness ( MPa.m1/2 ), Vickers Hardness (Typical) ( MPa ), Vickers Hardness 50g ( MPa ), Vickers Hardness 100g ( MPa ), Vickers Hardness 200g ( MPa ), Vickers Hardness 500g ( MPa ), Vickers Hardness (Miscell) ( MPa )
13925, GP02-385688, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.39, , , , , , , , , , 
13926, GP02-385689, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.38, , , , , , , , , , 
13927, GP02-385690, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13928, GP02-385691, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13929, GP02-385692, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13930, GP02-385693, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13931, GP02-385694, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.41, , , , , , , , , , 
13932, GP02-385695, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.41, , , , , , , , , , 
13933, GP02-385696, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13934, GP02-385697, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13935, GP02-385698, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.43, , , , , , , , , , 
13936, GP02-385699, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.44, , , , , , , , , , 
13937, GP02-385700, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.41, , , , , , , , , , 
13938, GP02-385701, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.4, , , , , , , , , , 
13939, GP02-385702, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.4, , , , , , , , , , 
13940, GP02-385703, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.39, , , , , , , , , , 
13941, GP02-385704, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.4, , , , , , , , , , 
13942, GP02-385705, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13943, GP02-385706, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13944, GP02-385707, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13945, GP02-385708, US Patent    Nippon Electric Glass (J), 2018, A9919949, , , , 2.42, , , , , , , , , , 
13946, GP06-385716, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.598, , , 83.2, , , , , , , 
13947, GP03-385717, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.606, , , 82.0, , , , , , , 
13948, GP03-385718, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.605, , , 82.9, , , , , , , 
13949, GP03-385719, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.606, , , 82.8, , , , , , , 
13950, GP03-385720, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.606, , , 82.8, , , , , , , 
13951, GP03-385721, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.603, , , 82.7, , , , , , , 
13952, GP03-385722, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.603, , , 82.5, , , , , , , 
13953, GP03-385723, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.597, , , 82.3, , , , , , , 
13954, GP03-385724, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.6, , , 82.6, , , , , , , 
13955, GP03-385725, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.599, , , 82.8, , , , , , , 
13956, GP03-385726, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.607, , , 82.8, , , , , , , 
13957, GP03-385727, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.621, , , 83.0, , , , , , , 
13958, GP03-385728, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.596, , , 82.7, , , , , , , 
13959, GP03-385729, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.623, , , 83.3, , , , , , , 
13960, GP03-385730, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.607, , , 83.1, , , , , , , 
13961, GP03-385731, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.598, , , 83.0, , , , , , , 
13962, GP03-385732, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.599, , , 82.0, , , , , , , 
13963, GP03-385733, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.604, , , 83.6, , , , , , , 
13964, GP03-385734, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.605, , , 84.3, , , , , , , 
13965, GP03-385735, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.603, , , 83.7, , , , , , , 
13966, GP03-385736, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.601, , , 82.9, , , , , , , 
13967, GP03-385737, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.601, , , 83.5, , , , , , , 
13968, GP03-385738, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.602, , , 82.7, , , , , , , 
13969, GP03-385739, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.602, , , 82.9, , , , , , , 
13970, GP03-385740, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.599, , , 82.0, , , , , , , 
13971, GP03-385741, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.605, , , 83.6, , , , , , , 
13972, GP03-385742, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.598, , , 83.7, , , , , , , 
13973, GP03-385743, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.592, , , 82.0, , , , , , , 
13974, GP03-385744, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.598, , , 83.2, , , , , , , 
13975, GP03-385745, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.599, , , 82.0, , , , , , , 
13976, GP03-385746, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.6, , , 82.3, , , , , , , 
13977, GP03-385747, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.619, , , 83.2, , , , , , , 
13978, GP03-385748, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.603, , , 82.9, , , , , , , 
13979, GP03-385749, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.609, , , 83.5, , , , , , , 
13980, GP06-385750, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.616, , , 82.8, , , , , , , 
13981, GP03-385751, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.623, , , 82.8, , , , , , , 
13982, GP03-385752, US Patent    Corning Inc. (US), 2018, A9919951, , , , 2.577, , , 84.7, , , , , , , 
13983, GP03-385753, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.514, , , , , , , , , , 
13984, GP03-385754, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.509, , , 77.8, , , , , , , 
13985, GP03-385755, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.505, , , 77.8, , , , , , , 
13986, GP03-385756, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.488, , , 79.2, , , , , , , 
13987, GP03-385757, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.523, , , 83.6, , , , , , , 
13988, GP03-385758, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.518, , , 83.7, , , , , , , 
13989, GP03-385759, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.514, , , 84.7, , , , , , , 
13990, GP03-385760, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.476, , , 81.4, , , , , , , 
13991, GP03-385761, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.49, , , 77.5, , , , , , , 
13992, GP03-385762, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.471, , , 81.0, , , , , , , 
13993, GP03-385763, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.537, , , 84.8, , , , , , , 
13994, GP03-385764, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.541, , , 86.6, , , , , , , 
13995, GP03-385765, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.47, , , 79.6, , , , , , , 
13996, GP03-385766, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.517, , , 81.8, , , , , , , 
13997, GP03-385767, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.57, , , 81.0, , , , , , , 
13998, GP03-385768, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.548, , , 84.8, , , , , , , 
13999, GP03-385769, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.605, , , 80.7, , , , , , , 
14000, GP03-385770, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.616, , , 84.8, , , , , , , 
14001, GP03-385771, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.604, , , 83.6, , , , , , , 
14002, GP03-385772, US Patent    Corning Inc. (US), 2018, A9919952, , , , 2.575, , , 84.1, , , , , , , 
14003, GP02-385800, US Patent    AGC (J), 2018, A9926220, , , , 2.5, , , , , , , , , , 
14004, GP02-385804, US Patent    AGC (J), 2018, A9926220, , , , 2.469, , , , , , , , , , 
14005, GP02-385805, US Patent    AGC (J), 2018, A9926220, , , , 2.476, , , , , , , , , , 
14006, GP02-385806, US Patent    AGC (J), 2018, A9926220, , , , 2.476, , , , , , , , , , 
14007, GP02-385807, US Patent    AGC (J), 2018, A9926220, , , , 2.469, , , , , , , , , , 
14008, GP02-385808, US Patent    AGC (J), 2018, A9926220, , , , 2.478, , , , , , , , , , 
14009, GP02-385809, US Patent    AGC (J), 2018, A9926220, , , , 2.482, , , , , , , , , , 
14010, GP02-385810, US Patent    AGC (J), 2018, A9926220, , , , 2.49, , , , , , , , , , 
14011, GP03-385811, US Patent    AGC (J), 2018, A9926220, , , , 2.482, , , , , , , , , , 
14012, GP02-385812, US Patent    AGC (J), 2018, A9926220, , , , 2.478, , , , , , , , , , 
14013, GP03-385836, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.52, , , 81.4, , , , , , , 
14014, GP03-385837, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.52, , , 81.1, , , , , , , 
14015, GP03-385838, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.52, , , 80.8, , , , , , , 
14016, GP03-385839, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.49, , , 78.6, , , , , , , 
14017, GP03-385840, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.496, , , 79.3, , , , , , , 
14018, GP03-385841, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.49, , , 77.4, , , , , , , 
14019, GP03-385842, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 82.1, , , , , , , 
14020, GP03-385843, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 80.7, , , , , , , 
14021, GP03-385844, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.52, , , 83.0, , , , , , , 
14022, GP03-385845, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.5, , , 82.1, , , , , , , 
14023, GP03-385846, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 81.2, , , , , , , 
14024, GP03-385847, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.497, , , 77.6, , , , , , , 
14025, GP03-385848, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.493, , , 77.7, , , , , , , 
14026, GP03-385849, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.49, , , 77.5, , , , , , , 
14027, GP03-385850, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.49, , , 79.3, , , , , , , 
14028, GP03-385851, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.52, , , 81.4, , , , , , , 
14029, GP03-385852, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.52, , , 81.6, , , , , , , 
14030, GP03-385853, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 80.4, , , , , , , 
14031, GP03-385854, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 81.6, , , , , , , 
14032, GP03-385855, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.5, , , 81.6, , , , , , , 
14033, GP03-385856, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.5, , , 80.8, , , , , , , 
14034, GP03-385857, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 81.6, , , , , , , 
14035, GP03-385858, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 81.0, , , , , , , 
14036, GP03-385859, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 81.1, , , , , , , 
14037, GP03-385860, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.496, , , 78.4, , , , , , , 
14038, GP03-385861, US Patent    Corning Inc. (US), 2018, A9932262, , , , 2.51, , , 82.1, , , , , , , 
14039, GP02-385862, US Patent    OCV Intellectual Capital (US), 2018, A9932263, , , , 2.73, , , 88.6, , , , , , , 
14040, GP02-385863, US Patent    OCV Intellectual Capital (US), 2018, A9932263, , , , 2.69, , , 88.5, , , , , , , 
14041, GP02-385864, US Patent    OCV Intellectual Capital (US), 2018, A9932263, , , , 2.65, , , , , , , , , , 
14042, GP02-385865, US Patent    OCV Intellectual Capital (US), 2018, A9932263, , , , 2.72, , , 86.8, , , , , , , 
14043, GP02-385866, US Patent    OCV Intellectual Capital (US), 2018, A9932263, , , , 2.71, , , 88.1, , , , , , , 
14044, GP02-385867, US Patent    OCV Intellectual Capital (US), 2018, A9932263, , , , 2.7, , , 87.8, , , , , , , 
14045, GP02-385868, US Patent    OCV Intellectual Capital (US), 2018, A9932263, , , , 2.73, , , 87.1, , , , , , , 
14046, GP02-385869, US Patent    OCV Intellectual Capital (US), 2018, A9932263, , , , 2.74, , , 88.3, , , , , , , 
14047, GP02-385968, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.564, , , 68.793, , , , , , , 
14048, GP02-385969, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.536, , , 68.655, , , , , , , 
14049, GP02-385970, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.514, , , 68.241, , , , , , , 
14050, GP02-385971, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.475, , , 67.344, , , , , , , 
14051, GP02-385972, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.529, , , 67.275, , , , , , , 
14052, GP02-385973, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.559, , , 68.793, , , , , , , 
14053, GP02-385974, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.567, , , 68.931, , , , , , , 
14054, GP02-385975, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.553, , , 68.862, , , , , , , 
14055, GP02-385976, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.526, , , 69.069, , , , , , , 
14056, GP02-385977, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.483, , , 68.241, , , , , , , 
14057, GP02-385978, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.467, , , 67.896, , , , , , , 
14058, GP02-385979, European Patent    Corning Inc. (US), 2016, AW138330, , , , 2.468, , , 67.827, , , , , , , 
14059, XP03-385980, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2548.0, , , , , 2548.0
14060, XP03-385981, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2597.0, , , , , 2597.0
14061, XP08-385982, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2724.4, , , , , 2724.4
14062, XP08-385983, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2940.0, , , , , 2940.0
14063, XP08-385984, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 3096.8, , , , , 3096.8
14064, XP08-385985, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 3136.0, , , , , 3136.0
14065, XP08-385986, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2499.0, , , , , 2499.0
14066, XP08-385987, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2597.0, , , , , 2597.0
14067, XP08-385988, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2646.0, , , , , 2646.0
14068, XP08-385989, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2704.8, , , , , 2704.8
14069, XP03-385990, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2528.4, , , , , 2528.4
14070, XP03-385991, European Patent    Others, 2016, AW134677, 650-750C + 900-1200C + 400-430C in KNO3, , , , , , , , 2744.0, , , , , 2744.0
14071, XP06-386046, European Patent    Corning Inc. (US), 2016, AW154235, 750C 4h + 830C 2h, , , 2.41, , , 83.0, 1.29, , , , , , 
14072, XP06-386047, European Patent    Corning Inc. (US), 2016, AW154235, 750C 4h + 830C 2h, , , 2.42, , , 84.0, 1.35, , , , , , 
14073, XP06-386050, European Patent    Corning Inc. (US), 2016, AW154235, annealed at 675C for 1h  820C 4h + 875C 4h, , , , , , 96.6, 0.94, 2940.0, , 2940.0, , , 
14074, GP03-386053, European Patent    Pilkington (GB), 2016, AW151322, , , , 2.619, , , 84.1, , , , , , , 
14075, GP03-386054, European Patent    Pilkington (GB), 2016, AW151322, , , , 2.594, , , 80.8, , , , , , , 
14076, GP03-386055, European Patent    Pilkington (GB), 2016, AW151322, , , , 2.551, , , 79.2, , , , , , , 
14077, GP03-386056, European Patent    Pilkington (GB), 2016, AW151322, , , , 2.572, , , 80.8, , , , , , , 
14078, GP03-386057, European Patent    Pilkington (GB), 2016, AW151322, , , , 2.661, , , 84.5, , , , , , , 
14079, GP03-386058, European Patent    Pilkington (GB), 2016, AW151324, , , , 2.554, , , 78.3, , , , , , , 
14080, GP03-386059, European Patent    Pilkington (GB), 2016, AW151324, , , , 2.568, , , 79.3, , , , , , , 
14081, GP03-386060, European Patent    Pilkington (GB), 2016, AW151324, , , , 2.581, , , 78.1, , , , , , , 
14082, GP03-386061, European Patent    Pilkington (GB), 2016, AW151324, , , , 2.668, , , 80.4, , , , , , , 
14083, GP03-386062, European Patent    Pilkington (GB), 2016, AW151324, , , , 2.664, , , 82.8, , , , , , , 
14084, GP03-386063, European Patent    Pilkington (GB), 2016, AW151324, , , , 2.62, , , 80.0, , , , , , , 
14085, GP03-386109, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.8, , , , , , , 
14086, GP03-386110, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.0, , , , , , , 
14087, GP03-386111, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.4, , , , , , , 
14088, GP03-386112, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.3, , , , , , , 
14089, GP03-386113, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.5, , , , , , , 
14090, GP03-386114, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.7, , , , , , , 
14091, GP03-386115, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.2, , , , , , , 
14092, GP03-386116, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.0, , , , , , , 
14093, GP03-386117, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 97.3, , , , , , , 
14094, GP03-386118, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.8, , , , , , , 
14095, GP03-386119, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.6, , , , , , , 
14096, GP03-386120, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.3, , , , , , , 
14097, GP03-386121, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.0, , , , , , , 
14098, GP03-386122, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.5, , , , , , , 
14099, GP03-386123, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.1, , , , , , , 
14100, GP03-386124, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.5, , , , , , , 
14101, GP03-386125, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.1, , , , , , , 
14102, GP03-386126, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 96.3, , , , , , , 
14103, GP03-386127, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.6, , , , , , , 
14104, GP03-386128, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.2, , , , , , , 
14105, GP03-386129, European Patent    Jushi Group (CN), 2018, A3287423, , , , , , , 95.8, , , , , , , 
14106, GP03-386151, European Patent    Jushi Group (CN), 2018, A3287425, , , , , , , 89.1, , , , , , , 
14107, GP03-386152, European Patent    Jushi Group (CN), 2018, A3287425, , , , , , , 89.0, , , , , , , 
14108, GP03-386153, European Patent    Jushi Group (CN), 2018, A3287425, , , , , , , 89.3, , , , , , , 
14109, GP03-386154, European Patent    Jushi Group (CN), 2018, A3287425, , , , , , , 89.7, , , , , , , 
14110, GP03-386155, European Patent    Jushi Group (CN), 2018, A3287425, , , , , , , 89.6, , , , , , , 
14111, GP03-386156, European Patent    Jushi Group (CN), 2018, A3287425, , , , , , , 89.5, , , , , , , 
14112, GP03-386157, European Patent    Jushi Group (CN), 2018, A3287425, , , , , , , 89.3, , , , , , , 
14113, GP03-386240, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.378, , , 73.14, , , , , , , 
14114, GP03-386241, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.378, , , 73.14, , , , , , , 
14115, GP03-386242, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.385, , , , , , , , , , 
14116, GP03-386243, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.365, , , , , , , , , , 
14117, GP03-386244, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.384, , , 72.45, , , , , , , 
14118, GP03-386245, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.386, , , , , , , , , , 
14119, GP03-386246, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.391, , , , , , , , , , 
14120, GP03-386247, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.368, , , , , , , , , , 
14121, GP03-386248, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.385, , , , , , , , , , 
14122, GP03-386249, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.369, , , , , , , , , , 
14123, GP03-386250, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.378, , , , , , , , , , 
14124, GP03-386251, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.369, , , , , , , , , , 
14125, GP03-386252, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.371, , , , , , , , , , 
14126, GP03-386253, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.375, , , , , , , , , , 
14127, GP03-386254, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.371, , , , , , , , , , 
14128, GP03-386255, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.384, , , , , , , , , , 
14129, GP03-386256, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.38, , , 73.83, , , , , , , 
14130, GP03-386257, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.405, , , , , , , , , , 
14131, GP03-386258, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.388, , , 73.14, , , , , , , 
14132, GP03-386259, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.373, , , , , , , , , , 
14133, GP03-386260, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.385, , , 73.83, , , , , , , 
14134, GP03-386261, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.39, , , , , , , , , , 
14135, GP03-386262, European Patent    Corning Inc. (US), 2018, A3296274, , , , 2.393, , , 73.83, , , , , , , 
14136, GP02-386285, European Patent    Corning Inc. (US), 2018, A3299346, , , , 2.388, , , , , , , , , , 
14137, GP02-386286, European Patent    Corning Inc. (US), 2018, A3299346, , , , 2.384, , , , , , , , , , 
14138, GP02-386287, European Patent    Corning Inc. (US), 2018, A3299346, , , , 2.381, , , , , , , , , , 
14139, GP02-386288, European Patent    Corning Inc. (US), 2018, A3299346, , , , 2.384, , , , , , , , , , 
14140, GP02-386289, European Patent    Corning Inc. (US), 2018, A3299346, , , , 2.387, , , , , , , , , , 
14141, GP02-386290, European Patent    Corning Inc. (US), 2018, A3299346, , , , 2.394, , , , , , , , , , 
14142, CP03-386347, European Patent    Sumitomo Electric Industries (J), 2018, A3305928, , , , , , , , , 2900.0, , , , , 2900.0
14143, GP02-386397, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.493, , , 68.8, , , , , , , 
14144, GP02-386398, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.44, , , 69.6, , , , , , , 
14145, GP02-386399, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.514, , , 68.3, , , , , , , 
14146, GP02-386400, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.516, , , 69.0, , , , , , , 
14147, GP02-386401, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.498, , , 71.4, , , , , , , 
14148, GP02-386402, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.492, , , 71.6, , , , , , , 
14149, GP02-386403, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.429, , , 71.2, , , , , , , 
14150, GP02-386404, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.431, , , 69.4, , , , , , , 
14151, GP02-386405, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.448, , , , , , , , , , 
14152, GP02-386406, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.428, , , 73.5, , , , , , , 
14153, GP02-386407, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.414, , , 76.9, , , , , , , 
14154, GP02-386408, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.446, , , 73.91, , , , , , , 
14155, GP02-386409, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.446, , , 74.6, , , , , , , 
14156, GP02-386410, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.443, , , 75.15, , , , , , , 
14157, GP02-386411, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.453, , , 73.7, , , , , , , 
14158, GP02-386412, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.452, , , 74.67, , , , , , , 
14159, GP02-386413, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.449, , , 75.5, , , , , , , 
14160, GP02-386414, European Patent    Corning Inc. (US), 2016, AW210244, , , , 2.422, , , , , , , , , , 
