Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Rb2O, Ag2O, Cs2O, MnO, CoO, CuO, ZnO, SrO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Nd2O3, Gd2O3, Bi2O3, TiO2, MnO2, GeO2, ZrO2, CeO2, SnO2, TeO2, P2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, H2O, Sm2O3, Eu2O3, Tb2O3, Er2O3, Yb2O3, Pr2O3, R2O, RO, R2O3, LiF, NaF, KF, MgF2, CaF2, SrF2, BaF2, ZnF2, AlF3, KHF2, BaCl2, Li, B, N, O, F, Na, Mg, Al, Si, P, Cl, K, Ca, Ti, V, Cr, Mn, Fe, Cu, Zn, As, Sr, Y, Sb, Ba, Ce, Nd, Er, Yb, Pt, Pb, Bi, Sr(PO3)2, Ca3(PO4)2, NaPO3, Zn(PO3)2, CaAl2Si2O8, AlN, SiC, Si3N4, Organic Compound, 2MgO-2Al2O3-5SiO2, Others, Fracture Toughness ( MPa.m1/2 )
1443, GP02-297316, European Patent    AGC (J), 2010, A2202207, 64.02, , 4.87, 9.49, 3.95, 3.41, , 5.2, 3.21, , , , , , , , 5.31, , , , , , , , , , , , , , , , 0.54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.72
1444, GP02-297317, European Patent    AGC (J), 2010, A2202207, 60.9, , 9.01, 9.69, 6.97, 2.42, , 8.41, 2.07, , , , , , , , , , , , , , , , , , , , , , , , 0.53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.73
1445, GP02-297318, European Patent    AGC (J), 2010, A2202207, 66.59, , 4.68, 5.34, 6.23, 1.58, , 3.8, 5.42, , , , , , , , 4.67, , , , , , , , , , , , , , , , 1.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.69
1446, GP02-297319, European Patent    AGC (J), 2010, A2202207, 66.26, , 6.03, 7.3, 7.3, , , 5.47, 5.03, , , , , , , , 1.73, , , , , , , , , , , , , , , , 0.88, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.69
1447, GJ05-297709, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, 70.0, 20.0, , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.0, 0.73
1448, GJ05-297710, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, 75.0, 10.0, , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10.0, 0.76
1449, GJ05-297711, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, 70.0, 10.0, 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10.0, 0.79
1450, GJ02-297712, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, 70.0, , , , 10.0, , , 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10.0, 0.75
1451, GJ02-297713, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, 70.0, , , , , , , 10.0, , , , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.0, 0.71
1452, GJ09-297714, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, 70.0, , , , , , , , 5.0, , , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 20.0, 0.73
1453, GJ04-297715, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, 60.0, 5.0, , , , , , , , , , , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10.0, 0.66
1454, GJ06-297716, J. Non-Crystalline Solids, 2010, v. 356  p. 001768, 70.0, , 15.0, , , , 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.0, 0.84
1455, GJ38-297784, J. Non-Crystalline Solids, 2010, v. 356  p. 002120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 17.77, 38.7, , , , , 21.83, , , , 21.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.02
1456, GJ38-297785, J. Non-Crystalline Solids, 2010, v. 356  p. 002120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.4, 40.4, , , , , 19.3, , , , 24.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.01
1457, GJ38-297786, J. Non-Crystalline Solids, 2010, v. 356  p. 002120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 17.64, 37.93, , , , , 19.96, , , , 24.47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.18
1458, GJ38-297787, J. Non-Crystalline Solids, 2010, v. 356  p. 002120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 21.31, 33.69, , , , , 20.67, , , , 24.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.39
1459, GJ38-297788, J. Non-Crystalline Solids, 2010, v. 356  p. 002120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 25.77, 28.62, , , , , 21.68, , , , 23.93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.37
1460, GJ38-297789, J. Non-Crystalline Solids, 2010, v. 356  p. 002120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.56, 55.72, , , , , 23.03, , , , , , , , , , , , , 16.69, , , , , , , , , , , , , , , , , , , , , , 0.68
1461, GJ38-297790, J. Non-Crystalline Solids, 2010, v. 356  p. 002120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 16.53, 40.37, , , , , 22.1, , , , , , , , , , , , , 21.0, , , , , , , , , , , , , , , , , , , , , , 0.95
1462, GJ38-297791, J. Non-Crystalline Solids, 2010, v. 356  p. 002120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 16.47, 39.18, , , , , 19.51, , , , , , , , , , , , , 24.84, , , , , , , , , , , , , , , , , , , , , , 1.03
1463, GJ02-298020, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , , 10.0, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.72
1464, GJ02-298021, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 2.5, 7.5, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.74
1465, GJ02-298022, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 3.75, 6.25, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.76
1466, GJ02-298023, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 5.0, 5.0, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.77
1467, GJ02-298024, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 5.5, 4.5, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.79
1468, GJ02-298025, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 6.25, 3.75, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.86
1469, GJ02-298026, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 7.0, 3.0, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1470, GJ02-298027, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 7.5, 2.5, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.93
1471, GJ02-298028, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , 10.0, , , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.07
1472, GJ02-298029, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , 7.5, , 2.5, , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.03
1473, GJ02-298030, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , 6.25, , 3.75, , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.02
1474, GJ02-298031, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , 5.0, , 5.0, , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.91
1475, GJ02-298032, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , 4.5, , 5.5, , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.8
1476, GJ02-298033, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , 3.75, , 6.25, , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.78
1477, GJ02-298034, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , 2.5, , 7.5, , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.76
1478, GJ02-298035, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , , , 10.0, , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64
1479, GJ02-298036, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , , 10.0, , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64
1480, GJ02-298037, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , 2.5, 7.5, , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.66
1481, GJ02-298038, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , 4.5, 5.5, , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.72
1482, GJ02-298039, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , 7.5, 2.5, , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.82
1483, GJ02-298040, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , , 15.0, , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.67
1484, GJ02-298041, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , , 15.0, , , 4.0, 16.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.65
1485, GJ02-298042, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , , 15.0, , , 8.0, 12.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.63
1486, GJ02-298043, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , , 15.0, , , 10.0, 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.62
1487, GJ02-298044, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , , 15.0, , , 12.0, 8.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.61
1488, GJ02-298045, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , , 15.0, , , 16.0, 4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.7
1489, GJ02-298046, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 65.0, , , , 15.0, , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.73
1490, GJ02-298047, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , , 10.0, , , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.75
1491, GJ02-298048, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , , 10.0, , , 3.0, 12.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.69
1492, GJ02-298049, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , , 10.0, , , 6.0, 9.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.69
1493, GJ02-298050, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , , 10.0, , , 7.5, 7.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.68
1494, GJ02-298051, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , , 10.0, , , 9.0, 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.61
1495, GJ02-298052, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , , 10.0, , , 12.0, 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.59
1496, GJ02-298053, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 75.0, , , , 10.0, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64
1497, GJ02-298054, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 70.0, , , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.68
1498, GJ02-298055, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 66.7, , , , 8.3, , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.74
1499, GJ02-298056, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 66.64, , , , 16.68, , , 16.68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.7
1500, GJ02-298057, J. Non-Crystalline Solids, 2010, v. 356  p. 002417, 66.7, , , , , , , 33.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.97
1501, GP20-298438, Japanese Patent    AGC (J), 2010, A184847, , 5.0, 15.0, , , , , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 59.9, 5.0, , , , , , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.56
1502, GP20-298439, Japanese Patent    AGC (J), 2010, A184847, , 5.0, 14.9, , , , , , 14.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , 59.7, 5.0, , , , , , , , , , , 0.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.56
1503, GP20-298440, Japanese Patent    AGC (J), 2010, A184847, , 4.99, 14.87, , , , , , 14.87, , , , , , , , , , , , , , , , , , , , , , , , , , , , 59.28, 4.99, , , , , , , , , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.56
1504, GP20-298441, Japanese Patent    AGC (J), 2010, A184847, , 4.9, 14.7, , , , , , 14.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , 58.8, 4.9, , , , , , , , , , , 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.56
1505, GP20-298442, Japanese Patent    AGC (J), 2010, A184847, , 4.8, 14.28, , , , , , 14.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , 57.03, 4.8, , , , , , , , , , , 4.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.55
1506, GP20-298443, Japanese Patent    AGC (J), 2010, A184847, , 4.5, 13.6, , , , , , 13.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , 54.7, 4.5, , , , , , , , , , , 9.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.54
1507, GP20-298444, Japanese Patent    AGC (J), 2010, A184847, , 2.0, 14.87, , , , , , 14.87, , , , , , , , , , , , , , , , , , , , , , , , , , , , 62.27, 4.99, , , , , , , , , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.55
1508, GP20-298445, Japanese Patent    AGC (J), 2010, A184847, , 8.98, 6.89, , , , , , 14.87, , , , , , , , , , , , , , , , , , , , , , , , , , , , 63.27, 4.99, , , , , , , , , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.55
1509, GP20-298446, Japanese Patent    AGC (J), 2010, A184847, , 4.99, 14.87, , , , 2.99, , 14.87, , , , , , , , , , , , , , , , , , , , , , , , , , , , 56.29, 4.99, , , , , , , , , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.5
1510, GP20-298447, Japanese Patent    AGC (J), 2010, A184847, , 4.99, 14.87, , 6.99, , , , 7.88, , , , , , , , , , , , , , , , , , , , , , , , , , , , 59.28, 4.99, , , , , , , , , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.62
1511, GP02-299791, US Patent    Central Glass (J), 2010, A0273635, 68.29, , 0.72, 15.48, 1.53, 0.04, , 4.05, 8.12, , , , , , , , 0.53, , , , , , , , , , , , , , , , 1.24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.79
1512, GP02-299792, US Patent    Central Glass (J), 2010, A0273635, 66.99, , 0.55, 15.96, 2.1, 0.04, , 3.09, 7.16, , , , , , , , 1.85, , , , , , , , , , , , , , , , 2.26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.77
1513, GP02-299793, US Patent    Central Glass (J), 2010, A0273635, 67.94, , 0.72, 16.81, 0.22, 0.04, , 4.04, 8.81, , , , , , , , 0.18, , , , , , , , , , , , , , , , 1.24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.79
1514, GP02-299794, US Patent    Central Glass (J), 2010, A0273635, 66.53, , 0.78, 16.51, 3.05, 0.04, , 2.86, 8.04, , , , , , , , 1.0, , , , , , , , , , , , , , , , 1.19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.7
1515, GP02-299795, US Patent    Central Glass (J), 2010, A0273635, 65.58, , 0.78, 16.24, 2.95, 0.04, , 4.54, 6.76, , , , , , , , 1.42, , , , , , , , , , , , , , , , 1.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.7
1516, GP02-299796, US Patent    Central Glass (J), 2010, A0273635, 67.49, , 1.03, 15.03, 2.54, 0.04, , 3.79, 4.27, , , , , , , , 4.3, , , , , , , , , , , , , , , , 1.51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.72
1517, GP02-299797, US Patent    Central Glass (J), 2010, A0273635, 68.55, , 0.72, 15.44, 2.28, 0.04, , 3.54, 7.25, , , , , , , , 0.94, , , , , , , , , , , , , , , , 1.24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.82
1518, GP02-299798, US Patent    Central Glass (J), 2010, A0273635, 67.47, , 1.03, 14.98, 2.53, 0.04, , 4.28, 4.78, , , , , , , , 3.39, , , , , , , , , , , , , , , , 1.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.71
1519, GP02-299799, US Patent    Central Glass (J), 2010, A0273635, 65.62, , 1.32, 15.37, 3.06, 0.04, , 5.64, 5.73, , , , , , , , 1.48, , , , , , , , , , , , , , , , 1.74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.67
