Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Rb2O, Ag2O, Cs2O, MnO, CoO, CuO, ZnO, SrO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Nd2O3, Gd2O3, Bi2O3, TiO2, MnO2, GeO2, ZrO2, CeO2, SnO2, TeO2, P2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, H2O, Sm2O3, Eu2O3, Tb2O3, Er2O3, Yb2O3, Pr2O3, R2O, RO, R2O3, LiF, NaF, KF, MgF2, CaF2, SrF2, BaF2, ZnF2, AlF3, KHF2, BaCl2, Li, B, N, O, F, Na, Mg, Al, Si, P, Cl, K, Ca, Ti, V, Cr, Mn, Fe, Cu, Zn, As, Sr, Y, Sb, Ba, Ce, Nd, Er, Yb, Pt, Pb, Bi, Sr(PO3)2, Ca3(PO4)2, NaPO3, Zn(PO3)2, CaAl2Si2O8, AlN, SiC, Si3N4, Organic Compound, 2MgO-2Al2O3-5SiO2, Others, Fracture Toughness ( MPa.m1/2 )
55, GJ38-018544, American Ceramic Soc. Bull., 1987, v. 066  p. 1616, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6.25, 52.08, , , 18.75, 6.25, 16.67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.1
56, GJ38-018547, American Ceramic Soc. Bull., 1987, v. 066  p. 1616, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 8.19, 50.95, , , 14.29, 8.19, 18.38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.95
57, GJ38-018551, American Ceramic Soc. Bull., 1987, v. 066  p. 1616, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.9, 56.9, , , 13.7, 3.9, 21.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.84
58, GJ10-031215, J. Materials Science Letters, 1982, v. 001  p. 0156, , 79.67, , , , , , , , , , , , , , , , 20.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.581
59, GJ10-031216, J. Materials Science Letters, 1982, v. 001  p. 0156, , 39.97, , , , , , , , , , , , , , , , 60.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.347
60, GJ10-031217, J. Materials Science Letters, 1982, v. 001  p. 0156, , 44.95, , , , , , , , , , , , , , , , 55.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.404
61, GJ10-031218, J. Materials Science Letters, 1982, v. 001  p. 0156, , 50.04, , , , , , , , , , , , , , , , 49.96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.425
62, GJ10-031219, J. Materials Science Letters, 1982, v. 001  p. 0156, , 55.0, , , , , , , , , , , , , , , , 45.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.469
63, GJ10-031220, J. Materials Science Letters, 1982, v. 001  p. 0156, , 60.03, , , , , , , , , , , , , , , , 39.97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.485
64, GJ10-031221, J. Materials Science Letters, 1982, v. 001  p. 0156, , 65.02, , , , , , , , , , , , , , , , 34.98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.492
65, GJ10-031222, J. Materials Science Letters, 1982, v. 001  p. 0156, , 69.98, , , , , , , , , , , , , , , , 30.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.477
66, GJ10-031223, J. Materials Science Letters, 1982, v. 001  p. 0156, , 75.05, , , , , , , , , , , , , , , , 24.95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.485
67, GJ35-031242, J. Materials Science Letters, 1982, v. 001  p. 0314, , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *
68, GJ04-031243, J. Materials Science Letters, 1982, v. 001  p. 0314, *, , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *
69, GJ10-031244, J. Materials Science Letters, 1982, v. 001  p. 0314, , *, , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *
70, GJ20-032225, Trans. Indian Ceramic Soc., 1985, v. 044  p. 0123, , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.68
71, GJ02-032246, J. Canadian Ceramic Soc., 1987, v. 056  p. 0054, 63.52, , 9.17, 0.6, 0.22, , 3.49, 15.34, 7.53, , , , , , , , , , , , , , , , , , , , , 0.14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.2
72, GJ01-032653, J. American Ceramic Soc., 1969, v. 052  p. 0099, 100.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.789
