Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Gd2O3, TiO2, ZrO2, CeO2, SnO2, TeO2, P2O5, V2O5, Nb2O5, Ta2O5, HfO2, SO3, WO3, GeS2, OH, Tb2O3, MgF2, CaF2, SrF2, AlF3, SrCl2, CdCl2, PbCl2, N, O, F, Al, Si, Cl, Co, Y, Sb, La, Pr, Nd, Tb, Dy, Ho, Er, Sr(PO3)2, Sb2S3, AlN, Density at RT ( g/cm3 ), Young's Modulus at RT ( GPa ), Vickers Hardness 100g ( MPa )
54, GI06-191666R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.59, , 14.8, 14.63, , , , 4.95, 4.93, , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.5, 80.6, 6448.4
55, GI06-191667R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.68, , 14.72, 0.12, 15.3, , , 5.09, 4.99, 0.008285, 0.006508, , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.55, 79.4, 6634.6
56, GI06-191668R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.76, , 15.33, , , 14.97, , 4.97, 4.85, , 0.007887, , , , , 0.12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.98, 74.5, 6556.2
57, GI06-191669R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.23, , 14.95, , 0.01, , , 5.12, 5.0, 15.69, , , , , , 0.007228, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.7, 79.1, 5762.4
58, GI06-191670, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.48, , 14.09, , 0.01, , , 5.08, 5.02, 0.009153, 15.21, , , , , 0.11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.78, 77.9, 7026.6
59, GI06-191671R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.51, , 14.73, 19.56, , , , 5.18, 5.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.54, 84.3, 6742.4
60, GI06-191672R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.15, , 14.38, , 20.36, , , 5.1, 5.01, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.61, 81.9, 7046.2
61, GI06-191673R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.25, , 14.44, , , 20.29, , 4.99, 4.85, , , , , , , 0.18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.17, 75.3, 6517.0
62, GI06-191674R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.15, , 15.15, , , , , 5.31, 5.35, 19.97, , , , , , 0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.82, 80.9, 6085.8
63, GI06-191675R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.91, , 14.64, , , , , 5.12, 4.96, , 20.37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.9, 79.0, 6419.0
